796	CLARE	0.01%	38,964
797	ALEJANDRA	0.01%	38,964
798	ELINOR	0.01%	38,964
799	MICHAEL	0.01%	38,964
800	LORRIE	0.01%	38,964
801	JERRI	0.01%	38,964
802	DARCY	0.01%	38,964
803	EARNESTINE	0.01%	38,964
804	CARMELLA	0.01%	38,964
805	TAYLOR	0.01%	38,964
806	NOEMI	0.01%	38,964
807	MARCIE	0.01%	38,964
808	LIZA	0.01%	38,964
809	ANNABELLE	0.01%	38,964
810	LOUISA	0.01%	38,964
811	EARLENE	0.01%	38,964
812	MALLORY	0.01%	38,964
813	CARLENE	0.01%	38,964
814	NITA	0.01%	38,964
815	SELENA	0.01%	38,964
816	TANISHA	0.01%	38,964
817	KATY	0.01%	38,964
818	JULIANNE	0.01%	38,964
819	JOHN	0.01%	38,964
820	LAKISHA	0.01%	35,717
821	EDWINA	0.01%	35,717
822	MARICELA	0.01%	35,717
